Title;Link;Tag;Date;Description
OPINI : Digitalisasi UMKM pada Era Digital;https://koran.bisnis.com/read/20231014/251/1704074/opini-digitalisasi-umkm-pada-era-digital;Opini & Analisis;14 Oktober 2023 02:00                                                    WIB;Social Commerce merupakan istilah baru yang muncul di tengah perkembangan teknologi dan digitalisasi di era modern yang mengintegrasikan media sosial dan aktivitas belanja online (social dan e-commerce).
Perkembangan Papua Barat Daya Terkini, Begini Kata Mendagri;https://papua.bisnis.com/read/20231013/414/1703959/perkembangan-papua-barat-daya-terkini-begini-kata-mendagri;Kabar Papua & Maluku;13 Oktober 2023 16:05                                                    WIB;Provinsi Papua Barat Daya sebagai daerah otonomi baru alias provinsi ke-38.
Pegadaian Boyong UMKM Binaan Pamer Produk di Inacraft;https://entrepreneur.bisnis.com/read/20231013/263/1704009/pegadaian-boyong-umkm-binaan-pamer-produk-di-inacraft;Peluang Bisnis;13 Oktober 2023 07:14                                                    WIB;Keterlibatan UMKM binaan Pegadaian di ajang Inacraft merupakan bentuk komitmen perusahaan sebagai bagian dari Holding Ultra Mikro.
Pemerintah Jamin Perlindungan Hukum untuk UMKM;https://ekonomi.bisnis.com/read/20231012/12/1640567/pemerintah-jamin-perlindungan-hukum-untuk-umkm;Trade;12 Oktober 2023 20:16                                                    WIB;Pemerintah menegaskan perhatiannya pada perlindungan hukum bagi usaha mikro kecil dan menengah (UMKM) dalam berusaha.
Senjang Digitalisasi di Balik Pedagang Tanah Abang vs TikTok Shop, Shopee, Cs;https://ekonomi.bisnis.com/read/20231012/9/1703632/senjang-digitalisasi-di-balik-pedagang-tanah-abang-vs-tiktok-shop-shopee-cs;Ekonomi;12 Oktober 2023 19:00                                                    WIB;Penolakan para pedagang Tanah Abang terhadap platform TikTok Shop, maupun ecommerce lain seperti Shopee cs tidak lepas dari senjangnya digitalisasi UMKM.
OPINI : Membuka Akses Kredit Macet Pelaku UMKM;https://finansial.bisnis.com/read/20231012/90/1703426/opini-membuka-akses-kredit-macet-pelaku-umkm;Perbankan;12 Oktober 2023 09:11                                                    WIB;Presiden Joko Widodo menginstruksikan kabinetnya untuk meningkatkan akses pembiayaan bagi UMKM melalui kebijakan hapus buku dan hapus tagih kredit macet UMKM.
OPINI : Membuka Akses Kredit Macet UMKM;https://koran.bisnis.com/read/20231012/251/1703331/opini-membuka-akses-kredit-macet-umkm;Opini & Analisis;12 Oktober 2023 02:00                                                    WIB;Presiden Joko Widodo menginstruksikan kabinetnya untuk meningkatkan akses pembiayaan bagi UMKM melalui kebijakan hapus buku dan hapus tagih kredit macet UMKM.
PERLINDUNGAN UMKM   : Proteksi Jadi Prioritas, UU Pasar Digital Digagas;https://koran.bisnis.com/read/20231011/448/1702951/perlindungan-umkm-proteksi-jadi-prioritas-uu-pasar-digital-digagas;;11 Oktober 2023 02:00                                                    WIB;Gagasan untuk menghadirkan undang-undang pasar digital mengemuka di tengah membanjirnya produk impor yang menyasar potensi pasar dalam negeri.
PEMBATASAN BARANG IMPOR : UMKM Diminta Jualan Daring;https://koran.bisnis.com/read/20231011/448/1702976/pembatasan-barang-impor-umkm-diminta-jualan-daring;;11 Oktober 2023 02:00                                                    WIB;Kementerian Perdagangan mendorong pelaku UMKM memasarkan produknya di platform lokapasar menyusul pelarangan peredaran barang impor murah di platform tersebut.
6 UMKM Bersaing di IMA UMKM Award 2023;https://entrepreneur.bisnis.com/read/20231010/52/1702927/6-umkm-bersaing-di-ima-umkm-award-2023;MANAJEMEN;10 Oktober 2023 19:27                                                    WIB;IMA UMKM award menyisakan enam finalis UMKM terbaik untuk memperebutkan gelar pemenang
