Solusiku dan Bank Sahabat Sampoerna Kerja Sama Dukung Pertumbuhan UMKM;https://bandung.bisnis.com/read/20231224/550/1726839/solusiku-dan-bank-sahabat-sampoerna-kerja-sama-dukung-pertumbuhan-umkm;Bisnis Jabar;24 Desember 2023 13:17                                                    WIB;Kerja sama ini diharapkan bisa memberikan dampak positif dalam mendukung pertumbuhan UMKM.
Dukung Kewirausahaan, Apindo Riau dan Umri Kerjasama Program UMKM Merdeka;https://sumatra.bisnis.com/read/20231222/534/1726552/dukung-kewirausahaan-apindo-riau-dan-umri-kerjasama-program-umkm-merdeka;Bisnis Sumatra;22 Desember 2023 20:34                                                    WIB;Umri dan Apindo sudah memiliki semangat dan kekuatan yang sama dalam mendukung kewirausahaan.
PEMBANGUNAN IKN   : Jokowi Iming-imingi Insentif UMKM;https://koran.bisnis.com/read/20231222/433/1726248/pembangunan-ikn-jokowi-iming-imingi-insentif-umkm;Makroekonomi;22 Desember 2023 02:00                                                    WIB;Bisnis, JAKARTA — Presiden Joko Widodo menyampaikan angin segar kepada pelaku usaha mikro, kecil, dan menengah (UMKM) yang berinvestasi di Ibu Kota Negara (IKN) Nusantara. n
Bank Mandiri Gandeng Ekosistem Salim Group Perluas Akses Pembiayaan UMKM;https://finansial.bisnis.com/read/20231221/90/1726191/bank-mandiri-gandeng-ekosistem-salim-group-perluas-akses-pembiayaan-umkm;Perbankan;21 Desember 2023 21:05                                                    WIB;Lewat kerja sama ini, Bank Mandiri akan mendukung kebutuhan modal kerja mitra Ottopay untuk menambah stock.
16.050 UMKM Riau Sudah Kantongi Sertifikat Halal;https://sumatra.bisnis.com/read/20231221/534/1726179/16050-umkm-riau-sudah-kantongi-sertifikat-halal;Bisnis Sumatra;21 Desember 2023 18:59                                                    WIB;Seiring dengan populasi penduduk di Riau yang mayoritas muslim dan meluasnya gaya hidup halal, telah menjadi faktor utama meningkatnya konsumsi produk halal.
Jokowi Beri Angin Segar UMKM yang Investasi di IKN, Bebas PPh dan PPN!;https://ekonomi.bisnis.com/read/20231221/9/1726095/jokowi-beri-angin-segar-umkm-yang-investasi-di-ikn-bebas-pph-dan-ppn;Ekonomi;21 Desember 2023 17:28                                                    WIB;Presiden Joko Widodo (Jokowi) menyampaikan angin segar kepa pelaku Usaha Mikro Kecil Menengah (UMKM) yang berinvestasi di IKN.
Berdayakan UMKM Perempuan, WEpreneur 2 by BCA Syariah Kembali Digelar;https://finansial.bisnis.com/read/20231221/90/1725856/berdayakan-umkm-perempuan-wepreneur-2-by-bca-syariah-kembali-digelar;Perbankan;21 Desember 2023 16:31                                                    WIB;PT Bank BCA Syariah (BCA Syariah) kembali menggelar pelatihan dan pengembangan UMKM melalui program WEpreneur 2.
UMKM Kaltim Diminta Manfaatkan Peluang Investasi di IKN;https://kalimantan.bisnis.com/read/20231221/407/1726125/umkm-kaltim-diminta-manfaatkan-peluang-investasi-di-ikn;Nuansa Borneo;21 Desember 2023 16:19                                                    WIB;Pemprov Kaltim akan memberikan bantuan permodalan melalui Bank Kaltimtara.
Export Center Surabaya Catat Transaksi Perdagangan US$71 Juta Tahun Ini;https://surabaya.bisnis.com/read/20231221/531/1725981/export-center-surabaya-catat-transaksi-perdagangan-us71-juta-tahun-ini;Kabar Jatim;21 Desember 2023 11:03                                                    WIB;Ekspor bagi UMKM masih memiliki sejumlah hambatan salah satunya soal kesiapan produk pelaku usaha ke setiap negara tujuan.
Masa Transisi BRI (BBRI) Kelola Seluruh Dana Pembiayaan UMKM BUMN;https://finansial.bisnis.com/read/20231221/90/1725951/masa-transisi-bri-bbri-kelola-seluruh-dana-pembiayaan-umkm-bumn;Perbankan;21 Desember 2023 10:20                                                    WIB;BRI (BBRI) ditugaskan untuk mengelola dana pembiayaan UMKM yang ada di dalam anggaran program CSR seluruh BUMN.
