Beras Medium;kg;13.700;13.700;0;
Beras Premium;kg;15.100;15.100;0;
Gula Pasir;kg;17.300;17.300;0;
Minyak Goreng Kemasan Premium;Lt;20.600;20.600;0;
Minyak Goreng Curah;Lt;14.500;14.500;0;
Minyak Goreng, MINYAKITA;Lt;15.100;15.100;0;
Daging Sapi Paha Belakang;kg;136.600;136.600;0;
Daging Ayam Ras;kg;36.000;36.200;0.56;
Telur Ayam Ras;kg;29.500;29.400;-0.34;
Tepung Terigu;kg;13.200;13.200;0;
Kedelai Impor;kg;15.400;15.400;0;
Cabe Merah Keriting;kg;64.400;63.700;-1.09;
Cabe Rawit Merah;kg;87.600;89.800;2.51;
Cabe Merah Besar;kg;64.700;64.600;-0.15;
Bawang Merah;kg;35.200;35.600;1.14;
Bawang Putih Honan;kg;37.900;38.000;0.26;
